feature,importance
OverallQual,0.11816532941584093
GrLivArea,0.08896018393530045
YearBuilt,0.08057000744033326
GarageCars,0.05318534934015764
OverallCond,0.047125589722682305
BsmtFullBath,0.03717337861454326
Fireplaces,0.03083642174357775
MSSubClass,0.029146204878781116
YearRemodAdd,0.02774451344533922
TotRmsAbvGrd,0.022641856517786645
